n:1 mse_avg:3098.51 mse_y:4299.13 mse_u:1337.78 mse_v:56.73 psnr_avg:13.22 psnr_y:11.80 psnr_u:16.87 psnr_v:30.59 
n:2 mse_avg:2986.12 mse_y:4129.66 mse_u:1341.65 mse_v:56.44 psnr_avg:13.38 psnr_y:11.97 psnr_u:16.85 psnr_v:30.61 
n:3 mse_avg:2912.52 mse_y:4020.18 mse_u:1338.15 mse_v:56.28 psnr_avg:13.49 psnr_y:12.09 psnr_u:16.87 psnr_v:30.63 
n:4 mse_avg:2891.37 mse_y:3987.36 mse_u:1342.64 mse_v:56.14 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.85 psnr_v:30.64 
n:5 mse_avg:2870.01 mse_y:3958.05 mse_u:1332.25 mse_v:55.60 psnr_avg:13.55 psnr_y:12.16 psnr_u:16.88 psnr_v:30.68 
n:6 mse_avg:2879.02 mse_y:3970.18 mse_u:1337.49 mse_v:55.90 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.87 psnr_v:30.66 
n:7 mse_avg:2869.34 mse_y:3957.44 mse_u:1330.67 mse_v:55.62 psnr_avg:13.55 psnr_y:12.16 psnr_u:16.89 psnr_v:30.68 
n:8 mse_avg:2897.76 mse_y:3996.74 mse_u:1343.55 mse_v:56.06 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.85 psnr_v:30.64 
n:9 mse_avg:2881.77 mse_y:3973.92 mse_u:1338.86 mse_v:56.07 psnr_avg:13.53 psnr_y:12.14 psnr_u:16.86 psnr_v:30.64 
n:10 mse_avg:2870.32 mse_y:3958.37 mse_u:1332.72 mse_v:55.74 psnr_avg:13.55 psnr_y:12.16 psnr_u:16.88 psnr_v:30.67 
n:11 mse_avg:2894.08 mse_y:3990.22 mse_u:1346.98 mse_v:56.60 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.84 psnr_v:30.60 
n:12 mse_avg:2875.33 mse_y:3964.39 mse_u:1338.48 mse_v:55.94 psnr_avg:13.54 psnr_y:12.15 psnr_u:16.86 psnr_v:30.65 
n:13 mse_avg:2883.97 mse_y:3976.28 mse_u:1342.47 mse_v:56.24 psnr_avg:13.53 psnr_y:12.14 psnr_u:16.85 psnr_v:30.63 
n:14 mse_avg:2896.93 mse_y:3993.95 mse_u:1349.21 mse_v:56.57 psnr_avg:13.51 psnr_y:12.12 psnr_u:16.83 psnr_v:30.60 
n:15 mse_avg:2876.04 mse_y:3964.58 mse_u:1341.55 mse_v:56.38 psnr_avg:13.54 psnr_y:12.15 psnr_u:16.85 psnr_v:30.62 
n:16 mse_avg:2885.66 mse_y:3978.14 mse_u:1344.81 mse_v:56.59 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.84 psnr_v:30.60 
n:17 mse_avg:2878.84 mse_y:3970.28 mse_u:1335.93 mse_v:55.95 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.87 psnr_v:30.65 
n:18 mse_avg:2899.85 mse_y:3998.16 mse_u:1349.81 mse_v:56.66 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.83 psnr_v:30.60 
n:19 mse_avg:2880.89 mse_y:3972.05 mse_u:1340.77 mse_v:56.41 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.86 psnr_v:30.62 
n:20 mse_avg:2876.19 mse_y:3966.69 mse_u:1334.54 mse_v:55.83 psnr_avg:13.54 psnr_y:12.15 psnr_u:16.88 psnr_v:30.66 
n:21 mse_avg:2902.53 mse_y:4002.70 mse_u:1347.90 mse_v:56.53 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.83 psnr_v:30.61 
n:22 mse_avg:2876.79 mse_y:3966.49 mse_u:1338.68 mse_v:56.10 psnr_avg:13.54 psnr_y:12.15 psnr_u:16.86 psnr_v:30.64 
n:23 mse_avg:2886.62 mse_y:3980.37 mse_u:1341.97 mse_v:56.29 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.85 psnr_v:30.63 
n:24 mse_avg:2906.17 mse_y:4007.50 mse_u:1350.20 mse_v:56.83 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.83 psnr_v:30.59 
n:25 mse_avg:2882.12 mse_y:3974.27 mse_u:1339.52 mse_v:56.07 psnr_avg:13.53 psnr_y:12.14 psnr_u:16.86 psnr_v:30.64 
n:26 mse_avg:2885.33 mse_y:3977.30 mse_u:1346.32 mse_v:56.47 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.84 psnr_v:30.61 
n:27 mse_avg:2878.07 mse_y:3969.19 mse_u:1335.70 mse_v:55.93 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.87 psnr_v:30.65 
n:28 mse_avg:2903.98 mse_y:4004.95 mse_u:1347.26 mse_v:56.79 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.84 psnr_v:30.59 
n:29 mse_avg:2887.76 mse_y:3981.43 mse_u:1344.36 mse_v:56.53 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.85 psnr_v:30.61 
n:30 mse_avg:2876.71 mse_y:3966.87 mse_u:1336.70 mse_v:56.05 psnr_avg:13.54 psnr_y:12.15 psnr_u:16.87 psnr_v:30.65 
n:31 mse_avg:2901.09 mse_y:3999.24 mse_u:1352.61 mse_v:57.00 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.82 psnr_v:30.57 
n:32 mse_avg:2880.91 mse_y:3971.73 mse_u:1342.16 mse_v:56.38 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.85 psnr_v:30.62 
n:33 mse_avg:2888.94 mse_y:3982.69 mse_u:1346.23 mse_v:56.65 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.84 psnr_v:30.60 
n:34 mse_avg:2903.11 mse_y:4002.49 mse_u:1351.78 mse_v:56.92 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.82 psnr_v:30.58 
n:35 mse_avg:2881.71 mse_y:3972.51 mse_u:1343.58 mse_v:56.61 psnr_avg:13.53 psnr_y:12.14 psnr_u:16.85 psnr_v:30.60 
n:36 mse_avg:2887.65 mse_y:3980.85 mse_u:1345.66 mse_v:56.85 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.84 psnr_v:30.58 
n:37 mse_avg:2879.01 mse_y:3970.26 mse_u:1336.74 mse_v:56.27 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.87 psnr_v:30.63 
n:38 mse_avg:2902.13 mse_y:4001.45 mse_u:1349.84 mse_v:57.15 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.83 psnr_v:30.56 
n:39 mse_avg:2886.31 mse_y:3978.90 mse_u:1345.22 mse_v:57.02 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.84 psnr_v:30.57 
n:40 mse_avg:2878.18 mse_y:3968.81 mse_u:1337.49 mse_v:56.38 psnr_avg:13.54 psnr_y:12.14 psnr_u:16.87 psnr_v:30.62 
n:41 mse_avg:2902.06 mse_y:4001.31 mse_u:1349.94 mse_v:57.15 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.83 psnr_v:30.56 
n:42 mse_avg:2882.91 mse_y:3974.67 mse_u:1341.96 mse_v:56.84 psnr_avg:13.53 psnr_y:12.14 psnr_u:16.85 psnr_v:30.58 
n:43 mse_avg:2888.88 mse_y:3982.74 mse_u:1345.22 mse_v:57.12 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.84 psnr_v:30.56 
n:44 mse_avg:2902.01 mse_y:4000.80 mse_u:1351.31 mse_v:57.55 psnr_avg:13.50 psnr_y:12.11 psnr_u:16.82 psnr_v:30.53 
n:45 mse_avg:2890.89 mse_y:3986.49 mse_u:1342.56 mse_v:56.85 psnr_avg:13.52 psnr_y:12.12 psnr_u:16.85 psnr_v:30.58 
n:46 mse_avg:2905.35 mse_y:4006.41 mse_u:1349.28 mse_v:57.18 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.83 psnr_v:30.56 
n:47 mse_avg:2890.82 mse_y:3985.70 mse_u:1345.02 mse_v:57.08 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.84 psnr_v:30.57 
n:48 mse_avg:2898.06 mse_y:3996.10 mse_u:1346.82 mse_v:57.17 psnr_avg:13.51 psnr_y:12.11 psnr_u:16.84 psnr_v:30.56 
n:49 mse_avg:2907.07 mse_y:4009.59 mse_u:1346.93 mse_v:57.08 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.84 psnr_v:30.57 
n:50 mse_avg:2889.81 mse_y:3985.48 mse_u:1340.04 mse_v:56.94 psnr_avg:13.52 psnr_y:12.13 psnr_u:16.86 psnr_v:30.58 
n:51 mse_avg:2894.68 mse_y:3991.95 mse_u:1343.05 mse_v:57.25 psnr_avg:13.51 psnr_y:12.12 psnr_u:16.85 psnr_v:30.55 
n:52 mse_avg:2887.39 mse_y:3983.28 mse_u:1334.53 mse_v:56.71 psnr_avg:13.53 psnr_y:12.13 psnr_u:16.88 psnr_v:30.59 
n:53 mse_avg:2904.92 mse_y:4007.31 mse_u:1343.09 mse_v:57.20 psnr_avg:13.50 psnr_y:12.10 psnr_u:16.85 psnr_v:30.56 
